"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 04 03:11:18 UTC 2024","Mon Mar 04 03:11:23 UTC 2024","4605","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Mon Mar 04 04:02:52 UTC 2024","Mon Mar 04 04:03:15 UTC 2024","23439","","13. Client Portal - Change Portfolio","","","","4. Complete Build Your Portfolio",""
"passed","Mon Mar 04 03:07:11 UTC 2024","Mon Mar 04 03:07:30 UTC 2024","19537","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Mon Mar 04 03:09:03 UTC 2024","Mon Mar 04 03:09:12 UTC 2024","8762","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","9. Complete Insurance Quote",""
"passed","Mon Mar 04 04:23:34 UTC 2024","Mon Mar 04 04:23:36 UTC 2024","2559","","16. Nucleus Wealth Wordpress Site","","","","4. Visit Superannuation",""
"passed","Mon Mar 04 03:09:03 UTC 2024","Mon Mar 04 03:09:03 UTC 2024","216","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","8. Navigate to Insurance Quote",""
"passed","Mon Mar 04 04:23:36 UTC 2024","Mon Mar 04 04:23:39 UTC 2024","2715","","16. Nucleus Wealth Wordpress Site","","","","5. Visit Direct Indexing",""
"passed","Mon Mar 04 03:15:34 UTC 2024","Mon Mar 04 03:15:43 UTC 2024","8268","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","2. Create a Joint Account",""
"passed","Mon Mar 04 03:22:17 UTC 2024","Mon Mar 04 03:22:38 UTC 2024","21214","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","7. Complete In Trust Details",""
"passed","Mon Mar 04 03:02:17 UTC 2024","Mon Mar 04 03:02:21 UTC 2024","3963","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","11. Scrape results from Review and navigate to Applicants",""
"passed","Mon Mar 04 03:25:13 UTC 2024","Mon Mar 04 03:25:23 UTC 2024","10517","","6. Company Account","","","","7. Complete In Company Details",""
"passed","Mon Mar 04 04:32:10 UTC 2024","Mon Mar 04 04:32:26 UTC 2024","15512","","19. Look Up Investment Account","","","","1. Log in using manager login",""
"passed","Mon Mar 04 04:23:31 UTC 2024","Mon Mar 04 04:23:34 UTC 2024","2337","","16. Nucleus Wealth Wordpress Site","","","","3. Visit Ethical Investing",""
"passed","Mon Mar 04 04:26:06 UTC 2024","Mon Mar 04 04:30:15 UTC 2024","249286","","18. Check Admin header","","","","2. Check Navbar",""
"passed","Mon Mar 04 04:03:15 UTC 2024","Mon Mar 04 04:03:17 UTC 2024","1679","","13. Client Portal - Change Portfolio","","","","5. Check Final Review",""
"passed","Mon Mar 04 03:41:17 UTC 2024","Mon Mar 04 03:41:33 UTC 2024","15809","","12. Client Portal - Forms","","","","1. Direct user to “Forms” page",""
"passed","Mon Mar 04 03:01:27 UTC 2024","Mon Mar 04 03:01:53 UTC 2024","25374","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","10. Complete Risk Profile and navigate to Review",""
"passed","Mon Mar 04 03:06:54 UTC 2024","Mon Mar 04 03:07:06 UTC 2024","11579","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","2. Create new Personal Super Account",""
"passed","Mon Mar 04 03:18:25 UTC 2024","Mon Mar 04 03:18:28 UTC 2024","2796","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","10. Review Final Review",""
"passed","Mon Mar 04 03:39:26 UTC 2024","Mon Mar 04 03:39:28 UTC 2024","2184","","11. Client Portal - Administration","","","","2. Check Administration Page",""
"passed","Mon Mar 04 03:36:54 UTC 2024","Mon Mar 04 03:36:55 UTC 2024","1223","","10. Client Portal - Account Dashboard","","","","6. Expand Ethics/Exclusions",""
"passed","Mon Mar 04 03:00:27 UTC 2024","Mon Mar 04 03:00:51 UTC 2024","23926","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","6. Complete Build Your Portfolio",""
"passed","Mon Mar 04 04:34:39 UTC 2024","Mon Mar 04 04:34:40 UTC 2024","963","","20. Admin Portal - Check details","","","","6. Check Account Settings & History (Data Snapshots)",""
"passed","Mon Mar 04 03:25:11 UTC 2024","Mon Mar 04 03:25:13 UTC 2024","1553","","6. Company Account","","","","6. Review Review Page",""
"passed","Mon Mar 04 04:32:38 UTC 2024","Mon Mar 04 04:32:42 UTC 2024","4230","","19. Look Up Investment Account","","","","4. Expand Account ID 445",""
"passed","Mon Mar 04 05:04:09 UTC 2024","Mon Mar 04 05:05:19 UTC 2024","70187","","22. Individual Onboarding for Interactive Brokers","","","","9. Complete Applicants",""
"passed","Mon Mar 04 03:11:44 UTC 2024","Mon Mar 04 03:11:50 UTC 2024","5964","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","5. Complete Screen and Tilts",""
"passed","Mon Mar 04 03:41:34 UTC 2024","Mon Mar 04 03:41:39 UTC 2024","4910","","12. Client Portal - Forms","","","","3. Expand Superannuation Forms",""
"passed","Mon Mar 04 05:06:13 UTC 2024","Mon Mar 04 05:07:21 UTC 2024","68522","","22. Individual Onboarding for Interactive Brokers","","","","14. Complete Final Review",""
"passed","Mon Mar 04 04:34:22 UTC 2024","Mon Mar 04 04:34:28 UTC 2024","6256","","20. Admin Portal - Check details","","","","2. Account ID 445 detail page",""
